measured_at,IGCC.IG.II1211A.PV/PLOT,IGCC.IG.TT1228A.PV/PLOT,IGCC.IG.YI1593AA.PV/PLOT,IGCC.IG.TT1227A.PV/PLOT,IGCC.IG.YI1593AB.PV/PLOT,IGCC.IG.YI1594AA.PV/PLOT,IGCC.IG.YI1594AB.PV/PLOT,IGCC.IG.II1211B.PV/PLOT,IGCC.IG.TT1228B.PV/PLOT,IGCC.IG.YI1593BA.PV/PLOT,IGCC.IG.TT1227B.PV/PLOT,IGCC.IG.YI1593BB.PV/PLOT,IGCC.IG.YI1594BA.PV/PLOT,IGCC.IG.YI1594BB.PV/PLOT,IGCC.IG.II1442.PV/PLOT,IGCC.IG.TT1427.PV/PLOT,IGCC.IG.YI1483A.PV/PLOT,IGCC.IG.TT1428.PV/PLOT,IGCC.IG.YI1483B.PV/PLOT,IGCC.IG.YI1484A.PV/PLOT,IGCC.IG.YI1484B.PV/PLOT,IGCC.IG.II7140.PV/PLOT,IGCC.IG.TT7111.PV/PLOT,IGCC.IG.YI7364A.PV/PLOT,IGCC.IG.TT7100.PV/PLOT,IGCC.IG.YI7364B.PV/PLOT,IGCC.IG.YI7365A.PV/PLOT,IGCC.IG.YI7365B.PV/PLOT,IGCC.IG.II7145.PV/PLOT,IGCC.IG.TT7152.PV/PLOT,IGCC.IG.YI7358A.PV/PLOT,IGCC.IG.TT7151.PV/PLOT,IGCC.IG.YI7358B.PV/PLOT,IGCC.IG.YI7359A.PV/PLOT,IGCC.IG.YI7359B.PV/PLOT
2025-12-30 18:17:00,-1.498587,17.35418,0.6195179,15.66817,0.5461391,0.5141732,0.5592051,852.1541,60.70792,15.21222,61.69884,15.17527,7.127336,9.691026,459.9835,56.2951,22.40783,49.55302,21.47521,21.9335,30.02122,-1.454701,16.66751,0.9528954,14.15969,0.9476708,0.9777067,0.9210236,228.7035,62.96105,11.65037,53.69554,10.41992,5.673234,6.100577
2025-12-30 18:18:00,-1.471307,17.26303,0.6034581,15.67497,0.5712311,0.5294195,0.5729491,852.0099,60.36428,15.17726,61.89648,15.16214,7.182407,9.702763,460.3897,56.30206,22.51252,49.5439,21.65061,21.45718,29.99493,-1.487652,16.64963,0.9560145,14.09759,0.9432425,0.9791054,0.9819106,228.5787,62.96895,11.72754,53.68296,10.49887,5.736847,6.139683
2025-12-30 18:19:00,-1.474927,17.35101,0.6096398,15.71577,0.5551063,0.5310181,0.5597374,852.7123,60.74583,15.1663,61.44903,15.1943,7.223243,9.667145,461.0194,56.31467,22.52146,49.62504,21.81527,21.50139,30.0096,-1.360433,16.79166,0.9854124,14.09016,0.956428,0.9986517,0.9857067,229.1433,62.97253,11.83642,53.68159,10.4975,5.62139,6.154592
2025-12-30 18:20:00,-1.478386,17.5204,0.6025058,15.70115,0.5769285,0.5404754,0.563924,852.6746,60.98068,15.24794,61.53538,15.17048,7.086608,9.692889,460.262,56.32585,22.61053,49.55424,21.75924,22.07816,30.0525,-1.389252,16.79689,0.9875011,14.11,0.9586679,0.9520572,0.9971346,229.0202,62.99848,11.83342,53.68254,10.45875,5.624575,6.124085
2025-12-30 18:21:00,-1.497505,17.34365,0.6258051,15.6826,0.5575733,0.5142008,0.579795,853.1944,60.91803,15.18441,61.90777,15.23504,7.22679,9.696541,460.7921,56.34168,22.56087,49.51146,21.42785,21.93724,30.06852,-1.426049,16.74085,0.9594099,14.09854,0.9951175,0.9663389,0.9854293,228.5974,62.98544,11.67614,53.65078,10.4733,5.811172,6.219044
2025-12-30 18:22:00,-1.483086,17.41911,0.622476,15.78947,0.5679135,0.5338541,0.5616793,851.0935,61.1606,15.16042,61.89302,15.21605,7.047838,9.675717,460.0573,56.33224,22.4797,49.5024,21.42638,21.86447,30.03818,-1.484118,16.75849,0.9750177,14.10087,0.9943357,0.9440008,0.995518,228.3126,62.99663,11.76185,53.66295,10.55608,5.779063,6.267674
2025-12-30 18:23:00,-1.546717,17.36049,0.615757,15.70338,0.5793077,0.5301712,0.56726,850.9634,60.52728,15.1703,61.57999,15.25843,7.171934,9.681259,461.1027,56.33532,22.44621,49.51182,21.8938,21.42246,30.04882,-1.383873,16.6483,0.9589289,14.11197,0.959764,0.9905624,0.9650373,229.0794,62.96664,11.7631,53.66768,10.43246,5.816523,6.265759
2025-12-30 18:24:00,-1.496295,17.31498,0.6201148,15.64221,0.5641501,0.5365544,0.5804513,852.4965,60.76299,15.23162,61.79338,15.19932,7.273865,9.701442,461.7709,56.29744,22.49345,49.53141,21.87315,21.44957,30.13048,-1.433392,16.6207,0.9775156,14.11039,0.9596354,0.9829637,0.9742715,228.5534,62.97922,11.72492,53.67154,10.5273,5.777191,6.177419
2025-12-30 18:25:00,-1.548996,17.32955,0.6184417,15.63157,0.5710145,0.5326831,0.5614181,852.0769,60.74564,15.1878,61.64286,15.25746,7.203297,9.660316,461.3728,56.31501,22.62272,49.53107,21.53899,21.69212,30.12595,-1.458881,16.83165,0.9713653,14.15912,0.9495872,0.9683471,0.9798673,228.527,62.99905,11.96493,53.64445,10.52521,5.723924,6.157424
2025-12-30 18:26:00,-1.482713,17.23518,0.6307739,15.63459,0.5611615,0.5299451,0.598312,849.9825,61.05758,15.22439,61.70156,15.19153,7.214156,9.653561,460.6473,56.30592,22.60863,49.51155,21.5335,21.92124,30.06752,-1.276602,16.87501,0.9612883,14.11207,0.9658219,0.973243,0.9586861,228.1599,62.95968,11.7633,53.67013,10.47874,5.67514,6.212253
